,user_id,data,data_type,length,time
172,1162805024,"калл Ребят, надо поактивить, а то у Мати флуда уже инфаркт, её спасёт только ваш актив!)",text,88,1751305592
173,1162805024,"Я признаюсь, тех админ у вас безграмотный..",text,43,1751305671
174,1162805024,Да..(,text,5,1751305727
175,1162805024,Меня другие админы чуть не убили сейчас..,text,41,1751305777
176,1162805024,Точна?),text,7,1751305824
177,1162805024,Ладно поверю),text,13,1751305837
178,1162805024,Ну +-,text,5,1751306107
179,1162805024,Вообще о 2х сейчас речь идёт,text,28,1751306132
180,1162805024,Да,text,2,1751306150
181,1162805024,Это в день,text,10,1751306157
182,1162805024,Для тебя да),text,12,1751306186
183,1162805024,"Хорошо, так и запишем",text,21,1751306212
184,1162805024,Тебе варн за спам выдадут),text,26,1751306230
185,1162805024,"Уже пол минуты прошло, должно быть около ляма уже",text,49,1751306251
186,1162805024,Ну уже почти минута,text,19,1751306272
187,1162805024,Уже принято и обжалованию не подлежит,text,37,1751306288
188,1162805024,Минута закончилась,text,18,1751306300
189,1162805024,Где норма?)),text,12,1751306305
190,1162805024,"Ладно, шутка чутка затянулась",text,29,1751306331
191,1162805024,кто я,text,5,1751307676
192,1162805024,Я тут админ вроде,text,17,1751307702
193,1162805024,Но это до следующей чистки чувствую,text,35,1751307714
194,1162805024,Я не злой,text,9,1751307721
195,1162805024,А я тут с открытия так то),text,26,1751307737
196,1162805024,Админы в запое походу,text,21,1751307833
197,1162805024,Поэтому их нету,text,15,1751307840
198,1162805024,Такова жизнь,text,12,1751307866
199,1162805024,Факт,text,4,1751307871
200,1162805024,Удачи нам дожить до этого момента),text,34,1751307935
201,1162805024,Какой?,text,6,1751470338
202,1162805024,Ты какая то очень подозрительная),text,33,1751470368
203,1162805024,Вроде нормальео,text,15,1751470374
204,1162805024,Что тут про меня?),text,18,1751482643
205,1162805024,Ну преуменьшили чутка(,text,22,1751482682
206,1162805024,"А совладелец у нас добрый, только я тут для баланса вселенной сижу",text,66,1751482721
207,1162805024,У нас бы его уже забанили,text,25,1751482778
208,1162805024,Какой ужас..,text,12,1751568226
209,1162805024,Все привет),text,11,1751568235
210,1162805024,"@Mashokxxs, с днем рождения тебя!)🎉",text,35,1751568319
211,1162805024,Саня пропал..,text,13,1751568339
212,1162805024,"О, нашлась)",text,11,1751570470
213,1162805024,Привет),text,7,1751570478
214,1162805024,Это угроза?),text,12,1751570566
215,1162805024,Это пахнет запрещеночкой),text,25,1751570706
216,1162805024,Тут тоже вопросики есть..,text,25,1751570769
217,1162805024,Мать в ахуе с вас,text,17,1751570774
218,1162805024,Рассизм???,text,10,1751570815
219,1162805024,AwACAgIAAyEFAASj_XDDAAKTAAFoZtmKGSTGIJjjTMk0I8iTDZq0BwACYHsAAv2EMEvTvdKDoEAQ9zYE,voice,5,1751570826
220,1162805024,"наградить
грушофил",text,18,1751571011
221,1162805024,AwACAgIAAyEFAASj_XDDAAKTSWhm2mfnAzf0heL9M7CHfdkxRhUCAAJ8ewAC_YQwSzRE6NgrrbnwNgQ,voice,6,1751571047
222,1162805024,"Хуевый ты юрист, должен быть адвокатом",text,38,1751571073
223,1162805024,*на атомы*,text,10,1751571089
224,1162805024,кто я,text,5,1751571152
225,1162805024,Я тут в рабстве..,text,17,1751571179
226,1162805024,Спасите,text,7,1751571180
227,1162805024,"Да, меня тут кормят)
Живу конечно в подвале, тут чутка сыро, но жить можно)",text,75,1751571258
228,1162805024,AwACAgIAAyEFAASj_XDDAAKTtWhm27ctk2Ou_ej2JPRveiW3gF6bAAL2fAACg2o4SyKI8SZH7dhwNgQ,voice,5,1751571383
229,1162805024,"Не, скорее 40 летний карлик педофил",text,35,1751578212
230,1162805024,Привет,text,6,1751616104
231,1162805024,Я завтракаю,text,11,1751616196
232,1162805024,А ты?,text,5,1751616208
233,1162805024,Спасибо),text,8,1751616264
234,1162805024,Тоже не плохо),text,14,1751616281
235,1162805024,"У тебя сколько времени сейчас, что у тебя обед?",text,47,1751616295
236,1162805024,"Всё, теперь всё сходится)",text,25,1751616324
237,1162805024,Я никогда не привыкну что тут у всех разные часовые пояса,text,57,1751616358
238,1162805024,"Просто есть одна проблемка связанная со временем, тут же мой бот сидит, а обновлять я его могу только когда актива нету, то есть только ночью, и хуй знает когда у кого ночь начинается)",text,184,1751616450
239,1162805024,"Не, всё нормально, она сейчас меня убьет)",text,41,1751616569
240,1162805024,Так премия будет или нет?),text,26,1751616604
241,1162805024,Та за шо,text,8,1751616779
242,1162805024,"Она.. ну.. пропала..
Сам не знаю как это произошло)",text,51,1751616944
243,1162805024,"Прям спиздили, я бы сказал)",text,27,1751617019
244,1162805024,"А вообще..
Была бы премия)",text,26,1751617038
245,1162805024,"Мать, ты чего?)
Ещё никто не проснулся просто",text,45,1751617084
246,1162805024,"Да..
Мы же вчера стату смотрели, мы понемногу на повышение идем",text,63,1751617120
247,1162805024,Пока что 100,text,12,1751617154
248,1162805024,Ещё не повышали,text,15,1751617160
249,1162805024,После чистки,text,12,1751617174
250,1162805024,Возможно и так будет,text,20,1751617182
251,1162805024,"Не, возможно сегодня..",text,22,1751617201
252,1162805024,Я не совсем помню на какую норму мы в итоге договорились,text,56,1751617255
253,1162805024,Потому что и 150 и 200 обсуждали,text,32,1751617264
254,1162805024,Ну бляяяяяяяяяя,text,15,1751617296
255,1162805024,"Мать, позади🛐🛐",text,14,1751617318
256,1162805024,Мы все сейчас её набираем😅,text,26,1751617366
257,1162805024,А в день чистки?),text,17,1751617380
258,1162805024,"Мать, можно рест?)",text,18,1751617389
259,1162805024,"Не, она просто с топором у меня за дверью уже)",text,46,1751617415
260,1162805024,"Ты что, мать, а активить кто будет?)",text,36,1751617498
261,1162805024,Да я сейчас уйду из чата на какое то время,text,42,1751617531
262,1162805024,Это оскорбление?),text,17,1751617549
263,1162805024,Мут что ли?),text,12,1751617555
264,1162805024,Угроза администрации..,text,22,1751617569
265,1162805024,"Правила флуда, пункт 5",text,22,1751617587
266,1162805024,Моя статья,text,10,1751617613
267,1162805024,"Мать, ты мне взятки давала??",text,28,1751617630
268,1162805024,"Так да, знаю..",text,14,1751617666
269,1162805024,Привет,text,6,1751622555
270,1162805024,Так кайф же,text,11,1751622609
271,1162805024,Ну и отлично),text,13,1751622734
272,1162805024,Всем привет,text,11,1751628268
273,1162805024,?),text,2,1751628302
274,1162805024,"Ура, я буду жить!!!",text,19,1751628334
275,1162805024,"Мать, а премия?)",text,16,1751628361
276,1162805024,"Аккуратней, она очень строгая",text,29,1751628459
277,1162805024,Ты ж админ,text,10,1751628497
278,1162805024,Тебе можно,text,10,1751628501
279,1162805024,"Правила, пункт 12",text,17,1751628519
280,1162805024,Сегодня исключение,text,18,1751635414
281,1162805024,"Мда..
Геноцид",text,13,1751641275
282,1162805024,"Так норма по сообщениям, а не по дням активности",text,48,1751641326
283,1162805024,Всего на неделю?,text,16,1751641516
284,1162805024,Им уже выдавали варны,text,21,1751642127
285,1162805024,Ща,text,2,1751642152
286,1162805024,"Калл Объявление!!!
С этой недели вступают в силу новая норма и небольшие корректировки в правилах",text,97,1751645283
287,1162805024,"Да ладно тебе, всего в 1.5 раза подняли",text,39,1751645380
288,1162805024,Изначально речь шла о 250 сообщений,text,35,1751645396
289,1162805024,Это только мне хотели сделат,text,28,1751645533
290,1162805024,всм?,text,4,1751645585
291,1162805024,"Я хз честно, я вообще чаты редко смотрю)",text,40,1751645620
292,1162805024,Ну вот ему и сделаем 1000,text,25,1751645659
293,1162805024,Кроме меня?),text,12,1751645997
294,1162805024,"Не, они ничего не стоят уже",text,27,1751646105
295,1162805024,Привет,text,6,1751708318
